,sno,Brand_name,Category,Product_type,Product_name,Price,Product_code
3378,3378,Lauren Adams,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹450,
3379,3379,Swear Clothes,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹399,
3380,3380,Indi Hemp,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹984,
3381,3381,Indi Hemp,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,Men Full Sleeve Solid Hooded Sweatshirt,₹499,
3382,3382,Ik Fashion Town,Men Regular Fit Solid Curved Collar Casual Shirt,Men Regular Fit Solid Curved Collar Casual Shirt,Men Regular Fit Solid Curved Collar Casual Shirt,₹349,
3383,3383,Indi Hemp,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,Men Regular Fit Printed Spread Collar Casual Shirt,₹499,
3384,3384,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...","Men Regular, Slim, Tailored Fit Solid Mandarin Collar C...",₹499,
3385,3385,JUHIL BAZAR,"Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...","Men Slim, Regular, Tailored Fit Solid Mandarin Collar C...",₹354,
3386,3386,Indi Hemp,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,₹944,
3387,3387,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹499,
3388,3388,Ik Fashion Town,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,Men Slim Fit Checkered Button Down Collar Casual Shirt,₹349,
3389,3389,Indi Hemp,Men Regular Fit Solid Casual Shirt,Men Regular Fit Solid Casual Shirt,Men Regular Fit Solid Casual Shirt,₹499,
3390,3390,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...","Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...","Men Regular, Slim, Tailored Fit Solid Cut Away Collar C...",₹499,
3391,3391,VALKO FASHION,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹299,
3392,3392,Indi Hemp,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,Men Slim Mid Rise Black Jeans,₹499,
3393,3393,Indi Hemp,"Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...","Men Regular, Slim, Tailored Fit Printed Button Down Col...",₹499,
3394,3394,Indi Hemp,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹499,
3395,3395,Indi Hemp,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,Unstitched Polycotton Shirt Fabric Printed,₹499,
3396,3396,Indi Hemp,"Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...","Men Regular, Slim, Tailored Fit Solid Button Down Colla...",₹994,
